article_id,bedroom,bathroom
285164,2,1
285163,NaN,NaN
285162,NaN,2
285161,NaN,NaN
285159,NaN,NaN
285145,3,NaN
285142,NaN,NaN
285135,15,NaN
285129,3,3
285127,NaN,NaN
285126,NaN,NaN
285124,2,1
285118,5,6
285109,4,3
285107,1,NaN
285102,7,3
285100,4,5
285099,NaN,NaN
285098,NaN,NaN
285097,3,NaN
285087,NaN,NaN
285086,5,5
285079,NaN,NaN
285076,4,3
285075,NaN,NaN
285074,NaN,NaN
285073,4,3
285066,4,5
285065,1,1
285063,NaN,NaN
285059,5,6
285058,NaN,NaN
285057,5,3
285048,NaN,NaN
285047,NaN,NaN
285044,2,2
285038,3,4
285032,2,2
285024,5,5
285023,20,NaN
285015,NaN,NaN
285010,NaN,NaN
285004,2,2
285003,2,2
284992,3,NaN
284982,4,NaN
284979,4,4
284978,NaN,NaN
284975,NaN,NaN
284973,NaN,NaN
284972,NaN,NaN
284971,4,NaN
32723,3,NaN
284964,NaN,NaN
284956,NaN,NaN
284952,NaN,NaN
31723,3,2
284947,3,3
284945,1,2
284942,NaN,NaN
284927,4,NaN
284914,4,NaN
284908,NaN,NaN
284906,NaN,NaN
284904,3,2
284902,2,NaN
284899,NaN,NaN
284896,6,6
284888,5,5
284885,NaN,NaN
284884,3,3
284881,3,3
284872,4,5
284867,NaN,NaN
284865,1,1
284864,1,1
284862,NaN,NaN
284861,5,5
284857,4,2
284856,4,2
284855,4,2
284854,5,6
284847,2,2
284845,NaN,NaN
284844,NaN,NaN
284839,2,2
284830,6,5
284827,4,5
285142,NaN,NaN
284819,NaN,NaN
284818,4,3
284813,4,4
284812,4,4
284804,3,3
284801,NaN,NaN
284797,2,2
284796,1,NaN
32223,NaN,NaN
284790,NaN,NaN
284789,NaN,NaN
284784,3,2
284783,3,2
284769,3,3
284768,NaN,NaN
284755,NaN,NaN
284750,4,5
284743,3,NaN
284737,3,4
284730,2,3
284728,5,4
284706,NaN,NaN
32323,4,NaN
32423,5,NaN
284698,2,2
284697,2,3
284696,6,6
284690,NaN,NaN
284689,NaN,NaN
284679,5,6
284678,5,6
284675,4,NaN
284666,NaN,NaN
284655,1,1
284645,NaN,NaN
284644,3,3
284643,3,3
284642,1,1
284639,6,4
284635,NaN,NaN
284634,3,NaN
32523,3,2
284627,NaN,NaN
284626,NaN,NaN
284625,NaN,NaN
284624,2,2
284617,2,3
284616,3,3
284610,NaN,NaN
284607,2,NaN
284606,2,NaN
284600,NaN,NaN
284592,NaN,NaN
284587,2,2
284586,2,NaN
284578,NaN,NaN
284575,NaN,NaN
284571,4,NaN
284570,4,NaN
284569,NaN,NaN
284568,3,NaN
284567,3,3
284566,2,2
284565,NaN,NaN
284563,1,1
284562,3,3
284561,2,NaN
284559,3,2
284558,4,NaN
284557,4,NaN
284542,3,4
284535,NaN,NaN
284534,6,4
284533,14,NaN
284519,NaN,NaN
284518,4,3
284516,2,2
284513,4,5
284510,23,NaN
284508,2,2
284506,1,1
284493,2,NaN
284492,3,3
284491,NaN,NaN
284489,NaN,NaN
284486,4,5
284479,NaN,NaN
284477,5,6
284476,5,6
284472,5,3
284471,NaN,NaN
284469,3,2
284468,4,5
284467,NaN,NaN
284466,3,2
284465,3,2
284463,NaN,NaN
284462,2,2
284461,2,2
284459,1,1
284453,4,NaN
284452,4,3
284451,2,1
284445,NaN,NaN
284442,4,5
284431,4,3
284428,NaN,NaN
284425,NaN,NaN
284420,3,2
284412,1,NaN
284406,2,2
284404,3,2
284402,5,5
284401,NaN,NaN
284399,4,NaN
284398,4,3
284397,NaN,NaN
284395,8,NaN
284393,6,7
284392,4,4
284389,2,2
284386,5,4
284385,5,4
284384,3,NaN
284383,5,6
284382,3,2
284381,4,3
284377,3,3
284376,6,NaN
284373,4,3
284369,NaN,NaN
284368,2,2
284367,2,2
284366,2,2
284364,NaN,NaN
284363,3,2
284360,5,NaN
285142,NaN,NaN
284355,NaN,NaN
284354,NaN,NaN
284353,4,NaN
284328,2,4
284327,2,4
284324,NaN,NaN
284322,3,NaN
284321,NaN,NaN
284320,3,3
284319,2,2
284308,3,2
284304,4,NaN
284303,4,5
284302,2,2
284301,NaN,NaN
284300,3,NaN
284299,3,2
284298,4,NaN
284297,6,3
284296,3,2
284295,3,2
284294,2,2
284293,2,2
284291,NaN,NaN
284287,NaN,NaN
284286,2,1
284279,NaN,NaN
284278,NaN,NaN
284277,2,NaN
284271,3,NaN
284270,3,3
284269,3,3
284268,2,1
284267,NaN,NaN
284259,1,1
284258,2,2
284257,2,2
284256,2,2
284254,1,1
284249,3,2
284248,2,2
284247,2,2
284246,2,2
284245,2,2
284244,2,2
284238,NaN,NaN
284237,4,3
30023,2,2
284226,3,NaN
284225,NaN,NaN
284224,15,NaN
284206,4,6
284204,NaN,NaN
285142,NaN,NaN
284201,4,5
284198,5,NaN
284197,NaN,NaN
284196,4,5
284191,4,3
284190,4,3
284188,3,4
284187,NaN,NaN
284177,3,4
284172,2,2
284169,4,2
284168,4,2
284158,2,3
284157,2,3
284155,3,2
284154,3,NaN
284149,4,5
284147,NaN,NaN
284146,1,NaN
