is_real_estate_post,area_LLM,bedroom_LLM,total_room_LLM,wc_LLM,alleyway_property,under_mortgage,residential_purpose,furnished,has_lowerlevel,has_rooftop,numbers_of_floors,street_name,article_id
1,83,,,,1,,,,,,0,Đường Lê Đức Thọ,250296
1,90,10,,,1,1,1,,,,5,Đường 16M,250297
1,85,3,3,2,1,1,1,,1,,2,Huỳnh Tấn Phát,250298
1,105,,,,1,,,,1,,3,Đường 237 PHẠM VĂN CHIÊU,250300
1,70,2,,,1,,,,,,5,Huỳnh Văn Nghệ,250302
1,,2,,,,0,1,0,0,0,,,250309
1,80.5,2,,2,,,1,1,,,6,,250312
1,62,5,5,4,1,0,1,0,0,1,4,Nguyễn Văn Đậu,250313
1,39,4,,3,1,,,,,1,3,Đường Số 29,250314
1,40,3,,2,1,,,,,,2,Đường Liên Khu 10-11,250318
1,43,2,,2,1,,,,,,3,LÝ THÁNH TÔNG,250319
1,44,4,4,,1,,1,,,,3,Khuông Việt,250320
1,60,3,3,,1,,1,,,,2,Hương Lộ 2,250321
1,,4,,,1,0,1,1,1,0,4,Bàu Cát,250322
1,,,,,1,,,1,,,2,Nguyễn Văn Công,250324
1,40,2,2,2,1,1,1,,,,2,Nơ Trang Long,250327
1,33,,,,1,1,1,,,,0,Đ.Bình Trị Đông,250329
1,58,2,,2,1,0,1,,,,2,Tân Chánh Hiệp,250338
1,63,4,7,4,1,,,1,,1,3,Phan Huy Ích,250346
1,65,4,7,4,1,,,1,,1,3,Phan Huy Ích,250347
1,63,4,7,4,1,,,1,,1,3,Phan Huy Ích,250348
1,1188,,,,,,,,,,0,Đường Liên Phường,250349
1,49,5,5,3,1,,,,1,1,4,đường số 19,250350
1,53,5,5,3,1,,,,1,1,4,đường số 19,250352
1,53,5,5,3,1,,,,1,1,4,đường số 19,250356
1,49,5,5,3,1,,,,1,1,4,đường số 19,250357
1,70,4,4,4,1,0,1,1,1,1,2,Nguyễn Hồng Đào,250364
1,67.2,4,4,5,1,0,1,1,1,1,2,Lê Đức Thọ,250365
1,50.4,4,5,5,1,0,1,1,1,1,3,Đỗ Thúc Tịnh,250369
1,50.4,4,5,5,1,0,1,1,1,1,3,Đỗ Thúc Tịnh,250370
1,50.8,4,5,5,1,0,1,1,1,1,3,Đỗ Thúc Tịnh,250371
1,76.5,4,7,4,1,0,1,0,0,1,5,Quang Trung,250372
1,76.5,4,7,4,1,0,1,0,0,1,5,Quang Trung,250373
1,75,4,,,1,,,,,1,5,Quang Trung,250374
1,75,4,,,1,0,1,,,1,5,Quang Trung,250375
1,50,4,4,3,1,,,,,1,3,TÂN SƠN NHÌ,250376
1,68,4,,3,1,,,,,,2,Ung Văn Khiêm,250379
1,60,,,,1,,,,,,4,Trần Kế Xương,250383
