title,price,area,time,page_link
Chưa tới 30tr/m2 - Hàng ngộp bank BAO ĐẦU TƯ - HẠ CHÀO 1.1 TỶ,3899000000 tỷ,150m2,2023-12-10 17:11:02,https://batdongsan.vn/chua-toi-30trm2-hang-ngop-bank-bao-dau-tu-ha-chao-11-ty-r285164
"Bán nhà HXH Âu Cơ Phường 9 Tân Bình, 51m2 3 Tầng, giá 5 tỷ nhỉnh",5.5 tỷ,51m2,2023-12-10 18:40:26,https://batdongsan.vn/ban-nha-hxh-au-co-phuong-9-tan-binh-51m2-3-tang-gia-5-ty-nhinh-r285163
"SÁT MẶT TIỀN PHAN ĐĂNG LƯU, PHƯỜNG 7, PHÚ NHUẬN, 2 TẦNG BTCT, 45M2, 4.x TỶ",4.6 tỷ,45m2,2023-12-10 18:56:17,https://batdongsan.vn/sat-mat-tien-phan-dang-luu-phuong-7-phu-nhuan-2-tang-btct-45m2-4x-ty-r285162
CHỦ GẤP BÁN TRƯỚC TẾT LÊ HỒNG PHONG QUẬN 5 RA MẶT TIỀN ĐƯỜNG 15M,7.35 tỷ,41m2,2023-12-10 20:49:28,https://batdongsan.vn/chu-gap-ban-truoc-tet-le-hong-phong-quan-5-ra-mat-tien-duong-15m-r285161
"LŨY BÁN BÍCH,TÂN PHÚ-DIỆN TÍCH KHỦNG 96M2 ( 4.3*22.5M)???? CHỈ 5TỶX",Thỏa thuận,96m2,2023-12-07 14:13:40,https://batdongsan.vn/luy-ban-bichtan-phu-dien-tich-khung-96m2-43225m-chi-5tyx-r285159
"✅ BÁN NHÀ MỚI ĐẸP 7 X 13, CHỈ 3.5 TỶ, HẺM XE HƠI. CHỐT",Thỏa thuận,,2023-12-08 09:39:36,https://batdongsan.vn/ban-nha-moi-dep-7-x-13-chi-35-ty-hem-xe-hoi-chot-r285145
"Bán Nhà Mặt tiền đường Kha Vạn Cân, P. Linh Đông, dt 180m2 giá 19 tỷ TL",19 tỷ,180m2,2023-12-08 09:42:27,https://batdongsan.vn/ban-nha-mat-tien-duong-kha-van-can-p-linh-dong-dt-180m2-gia-19-ty-tl-r285142
Trương Đức Toàn,21.8 tỷ,80m2,2023-12-08 10:31:28,https://batdongsan.vn/truong-duc-toan-r285135
"SÁT MẶT TIỀN BẠCH ĐẰNG, PHƯỜNG 14, BÌNH THẠNH, 3 TẦNG BTCT, 33M2, 4.x TỶ",4 tỷ,33m2,2023-12-08 10:59:42,https://batdongsan.vn/sat-mat-tien-bach-dang-phuong-14-binh-thanh-3-tang-btct-33m2-4x-ty-r285129
"Bán nhà 2 mặt tiền đường Phạm Văn Đồng, Thủ Đức - 118m2 - full thổ cư - 23,5 tỷ",19 tỷ,118m2,2023-12-08 11:42:43,https://batdongsan.vn/ban-nha-2-mat-tien-duong-pham-van-dong-thu-duc-118m2-full-tho-cu-235-ty-r285127
