article_id,alleyway_property,under_mortgage,residential_purpose,numbers_of_floors,has_rooftop,furnished,street_name,0
285164.0,1,1,1,2,0,0,,
285163.0,1,,1,3,,,Hẻm Âu Cơ,
285162.0,,,1,2,,,Phan Đăng Lưu,
285161.0,,,1,2,,,Lê Hồng Phong,
285159.0,1,,1,2,,0,"LŨY BÁN BÍCH,TÂN PHÚ",
285145.0,1,,1,2,,,Đường số 9,
285142.0,,,1,,,,Kha Vạn Cân,
285135.0,,,1,5,,,Đường 3/2,
285129.0,,,1,3,,,Bạch Đằng,
285127.0,,,1,,,,Phạm Văn Đồng,
285126.0,,,,,,,,
285124.0,,,1,,,1,Võ Văn Kiệt,
285118.0,,,1,3,1,,Nguyễn Tất Thành,
285109.0,1,0,1,2,1,0,Mễ Cốc,
285107.0,1,,1,2,,,Trần Xuân Soạn,
285102.0,,,1,2,1,,Hòa Bình Tân Phú,
285100.0,1,,1,4,,,Phan Huy Ich,
285099.0,,,1,,,,TP. Thủ Đức,
285098.0,,,1,,,,"Bùi Tá Hán, An Phú",
285097.0,1,,1,,,,Nguyễn Khuyến,
285087.0,1,,1,4,,,Bùi Thế Mỹ,
285086.0,1,,1,2,,,,
285079.0,,,1,3,1,,Bùi Tá Hán,
285076.0,,,1,3,1,1,HXH-NGUYỄN HỮU TIẾN,
285075.0,1,,1,3,,,Phạm Văn Hai,
285074.0,,,1,4,,,Hồng Lạc Phường 8 Tân Bình,
285073.0,,,1,3,,1,Thoại Ngọc Hầu Hòa Bình Nguyễn Sơn,
285066.0,,,1,2,,,Đường Trường Lưu Phường Long TRường Q9,
285065.0,,,1,,,1,Đường D1 Phường Phước Long B Q9,
285063.0,,,1,2,1,,Bùi Tá Hán,
285059.0,,,1,3,1,1,Đường số gần đường Phạm Hùng,
285058.0,,,,,,,,
285057.0,,,1,2,1,,Đường số 5,
285048.0,,,1,2,1,,Chu Mạnh Trinh,
285047.0,,,1,2,1,,Nguyễn Khuyến Chu Mạnh Trinh Hữu Nghị,
285044.0,,,1,2,,1,Trường Chinh,
285038.0,1,,1,3,1,,Bùi Quang Là,
285032.0,,,1,2,,1,Aeon Tân Phú,
285024.0,,,1,3,,,Trường Sa,
285023.0,1,,1,,1,,Hoàng Diệu,
285015.0,,,,,,,Nguyễn Duy Trinh,
285010,0,,1,3,,,Cách mạng tháng 8,
,,,,,,,,
285003.0,1,,1,2,,,VƯỜN LÀI TÂN PHÚ,
284992.0,1,,1,2,,,Cách mạng tháng 8,
284982.0,1,,1,5,1,,Nguyễn Văn Khối,
284979.0,1,0,1,4,1,1,Đường Tỉnh Lộ 10-Bình Trị Đông-Bình Tân,
284978.0,,,1,4,,,"An Phú, Q2",
284975.0,,,1,2,,,số 16 HBC,
284973.0,,,1,4,,1,Lũy Bán Bích,
284972.0,,,1,4,,1,Lũy Bán Bích,
284971.0,,,1,3,,1,Nguyễn Hữu Cảnh,
284968.0,1,,1,5,1,,Quang Trung Phường 8,
284964.0,0,1,0,4,1,1,Hương Lộ 2,
284956.0,,,,,,,,
284952.0,1,,1,5,,,C/c Bàu Cát,
284950.0,1,,1,2,,,Phạm Văn Chiêu,
284947.0,,,1,4,,,Đường số 4 phường 11 Gò Vấp,
284945.0,0,,1,2,,,Phạm Văn Hai,
284942.0,,,1,2,,,HXH Quang Trung - Phường 11 - Thông Tứ Tung,
284927.0,1,0,1,3,0,0,Bình Tân,
284914.0,0,0,1,4,1,0,Vườn Lài Phú Thọ Hòa Tân Phú,
284908.0,,,1,,,,Tô Ngọc Vân,
284906.0,,,,,,,,
284904.0,1,,1,1,,,Nguyễn Thượng Hiền,
284902.0,,,1,11,,,,
284899.0,,,1,,,,Khu Công nghệ cao,
284896.0,,1,1,2,,,Phạm Văn Đồng,
284888.0,1,,1,5,1,,LŨY BÁN BÍCH HUỲNH THIỆN LỘC TÂN PHÚ,
