page_link,category,district,article_id,bedrom,wc,direction,balcony_direction,description
https://batdongsan.vn/chua-toi-30trm2-hang-ngop-bank-bao-dau-tu-ha-chao-11-ty-r285164,Nhà riêng,Nhà Bè,285164,2,1,,, Mô tả: Thông số cực đẹp 5 x 30m (150m2) Nhà cấp 4 2PN toilet phòng khách bếp sân sau trồng cây Nhà gần sát Mặt tiền hẻm nhựa xe hơi tránh Khu vực tập trung nhiều Khu dân cư các Dự án lớn thu hút đông đảo các Nhà Đầu Tư lớn Huyện Nhà Bè hướng đến mục tiêu trở thành Thành phố trực thuộc TP Hồ Chí Minh Giá chưa tới 30tr/m2 bao đầu tư Sổ đang vay bank 2 2 tỷ pháp lý chuẩn chủ cần bán gấp ☎️ Thiện chí alo em Hiền gặp chính chủ thương lượng miễn trung gian 
https://batdongsan.vn/ban-nha-hxh-au-co-phuong-9-tan-binh-51m2-3-tang-gia-5-ty-nhinh-r285163,Nhà riêng,Tân Bình,285163,,,,, Bán nhà HXH Âu Cơ Phường 9 Tân Bình 51m2 3 Tầng giá 5 tỷ nhỉnh DT 51m2 cực to cứng nhất khu Kết cấu: 3 Tầng đẹp nhứt nách Hẻm xe hơi mát mẻ an ninh Sổ đẹp hoàn công đủ Hẻm Âu Cơ thông Trần Văn Quang tiện di chuyển đường Bàu Cát đường Ni Sư Huỳnh Liên đường Hồng Lạc Đường Lạc Long Quân 1 phút ra chợ vải Tân Bình 5 phút đi qua cư xá Lữ Gia cư xá Bắc Hải Quận 10 Quận 1 
https://batdongsan.vn/sat-mat-tien-phan-dang-luu-phuong-7-phu-nhuan-2-tang-btct-45m2-4x-ty-r285162,Nhà,Phú Nhuận,285162,2,2,,, Kết cấu: 1 trệt 1 lầu BTCT; 2 PN 2 WC Phòng khách bếp ban công bao rộng Đường đi sạch sẽ an ninh yên tĩnh Khu vực Phan Xích Long Phan Đăng Lưu Gần CoopMart BV Hoàn Mỹ phố ẩm thực công an phường Sổ hồng chính chủ hoàn công đủ pháp lý chuẩn công chứng mua bán ngay 
https://batdongsan.vn/chu-gap-ban-truoc-tet-le-hong-phong-quan-5-ra-mat-tien-duong-15m-r285161,Nhà riêng,Quận 5,285161,,,,, Mô tả: Diện tích công nhận 41m thực tế 66m ngang 3 3m Kết cấu 2 tầng thông sàn đang cho thuê 15tr/tháng Vị trí trung tâm Quận 5 sát Quận 1 Quận 10 Pháp lý sạch sẽ sẽ sổ vuông vức hoàn công đủ công chứng ngay 
https://batdongsan.vn/luy-ban-bichtan-phu-dien-tich-khung-96m2-43225m-chi-5tyx-r285159,Nhà riêng,Tân Phú,285159,2,1,,, Diện tích 96m2 ngang 4 3m dài 22 5m sổ vuông vức thuận tiện xây mới phù hợp xay dựng căn hộ dịch vụ với doanh thu cao vì gần khu dân cư trường đại học các cấp Kết cấu nhà 1 trệt 1 lửng thông suốt đang làm kho chứa vải Vị tri cách mặt tiền chỉ 30m hẻm rộng sạch sẽ xe tải nhỏ vào được Pháp lý rõ ràng hoàn công đủ công chứng ngay ☎️ Lh: 0898992121 TRANG để xem nhà trực tiếp 
https://batdongsan.vn/ban-nha-moi-dep-7-x-13-chi-35-ty-hem-xe-hoi-chot-r285145,Nhà mặt phố,Thủ Đức,285145,3,3,,, ✅ BÁN NHÀ MỚI ĐẸP 7 X 13 CHỈ 3 5 TỶ HẺM XE HƠI CHỐT ✅ 7 x 13 1 trệt 2 lầu hoàn công đầu đủ 3 phòng ngủ ????????Hẻm xe hơi khu dân yên tĩnh hàng xóm thân thiện ????Vị trí khá Vị trí đường số 9 nằm giữa Ql1k và đường số 11 đi lại khắp nơi ✅Gần trung tâm thương mại chợ Linh Xuân Sổ ở nhà mang khách qua là chốt ☎️ 0338947066 
https://batdongsan.vn/ban-nha-mat-tien-duong-kha-van-can-p-linh-dong-dt-180m2-gia-19-ty-tl-r285142,Nhà,Thủ Đức,285142,,,,, Bán Nhà Mặt tiền đường Kha Vạn Cân P Linh Đông dt 180m2 giá 19 tỷ TL Vị trí sát đường Phạm Văn Đồng chợ Thủ Đức con đường kinh doanh sầm uất đa ngành nghề Vị trí Đẹp Thuận Tiện Xây Toà Nhà Vp Cty Chdv Cao Cấp Ngay Trường Cao Đẳng Vinatex dễ dàng di chuyển các hướng Diện tích: 180m2 ( 6 3m x 28 5m ) Thổ cư 100% Giá bán : 19 tỷ ( thương lượng ) Hiện tại chủ Đang Cho thuê 40triệu/tháng Liên Hệ Em Long 0898 408 677 để được xem và mua nhanh nhất!! Mong tiếp khách thiện chí 
https://batdongsan.vn/truong-duc-toan-r285135,Nhà mặt phố,Quận 11,285135,8,8,Nam,Nam, QUẬN 11 MẶT TIỀN 3/2 KINH DOANH SẦM UẤT KHU VỰC VIP GIÁ RẺ NHÀ RỘNG 4X20M 1 HẦM 5 TẦNG TẦNG THƯỢNG CÓ 15 PHÒNG PHÙ HỢP LÀM CĂN HỘ DỊCH VỤ HOẶC CÔNG TY KINH DOANH ✅ Chỉ 21 t y 68 TLcc Pháp lý chuẩn ☎️Zalo 0938059388 Nha Phố SG nhaphosaigon quan11 Đường 3 2 mattien kinhdoanh tphcm Vị trí TT Quận 11 Trục Đường 3/2 MTKD đỉnh Cho thuê thu nhập 100tr th Pháp lý đầy đủ sổ tại gia công chứng ngay 
https://batdongsan.vn/sat-mat-tien-bach-dang-phuong-14-binh-thanh-3-tang-btct-33m2-4x-ty-r285129,Nhà,Bình Thạnh,285129,3,3,,, Hiện có dòng tiền 15 triệu/tháng Kết cấu: 1 trệt 2 lầu BTCT; 3 PN 3 WC Đường đi an ninh sạch sẽ Khu vực Bạch Đằng Lê Quang Định chợ Bà Chiểu Gần BV Gia Định UBND quận công an phường; tiện ích đầy đủ Sổ hồng chính chủ hoàn công đủ pháp lý chuẩn công chứng mua bán ngay 
https://batdongsan.vn/ban-nha-2-mat-tien-duong-pham-van-dong-thu-duc-118m2-full-tho-cu-235-ty-r285127,Nhà mặt phố,Thủ Đức,285127,,,,, Bán nhà 2 mặt tiền đường Phạm Văn Đồng Thủ Đức 118m2 full thổ cư 23 5 tỷ Ngân hàng Techcombank Cho vay đến 17tỷ lãi suất ưu đãi khách chỉ cần số tiền còn lại Bán nhà 2 mặt tiền đường Phạm Văn Đồng và Kha Vạn Cân Phường Hiệp Bình Chánh Thủ Đức Ví trí đẹp đối diện Trung tâm thương mại GigaMall Vị trí khu vực kinh doanh sầm uất tấp nập Thích hợp xây cao ốc văn phòng khách sạn showroom hoặc kinh doanh buôn bán …… Hiện đang cho thuê 30tr/tháng Hướng : Bắc Nam Diện tích : 5 9m x 20m full thổ cư sổ hồng riêng Giá bán: 23 5 tỷ ( thương lượng ) Hỗ trợ vay Ngân Hàng Liên Hệ Em Long 0898 408 677 để được xem và mua nhanh nhất!! Mong tiếp khách thiện chí 
